state,elasticity
Alaska,1.16
Alabama,0.89
Arkansas,1
Arizona,1.05
California,0.94
Colorado,1.07
Connecticut,0.99
District of Columbia,0.8
Delaware,0.93
Florida,1.03
Georgia,0.9
Hawaii,1.07
Iowa,1.08
Idaho,1.12
Illinois,1.01
Indiana,0.99
Kansas,1
Kentucky,0.94
Louisiana,0.96
Massachusetts,1.15
Maryland,0.96
Maine,1.13
Michigan,1.07
Minnesota,1.03
Missouri,0.95
Mississippi,0.92
Montana,1.07
North Carolina,0.98
North Dakota,0.98
Nebraska,1.01
New Hampshire,1.15
New Jersey,1.01
New Mexico,1.02
Nevada,1.08
New York,0.97
Ohio,1.02
Oklahoma,0.94
Oregon,1
Pennsylvania,1
Rhode Island,1.15
South Carolina,0.97
South Dakota,1.01
Tennessee,0.98
Texas,1.03
Utah,1.06
Virginia,0.94
Vermont,1.12
Washington,1
Wisconsin,1.07
West Virginia,1.04
Wyoming,1.08
