Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Two Or More Races
Alabama,0.65,0.27,0.04,,,,0.02
Alaska,0.58,0.03,0.06,0.07,0.16,,0.07
Arizona,0.51,0.04,0.37,0.03,,,0.02
Arkansas,0.74,0.15,0.07,0.02,,,0.02
California,0.39,0.06,0.38,0.15,0.0,0.01,0.02
Colorado,0.69,0.04,0.21,0.03,,,0.02
Connecticut,0.7,0.09,0.15,0.04,,0.0,
Delaware,0.63,0.21,0.1,0.04,,0.0,
District of Columbia,0.37,0.46,0.11,0.05,,,0.02
Florida,0.54,0.16,0.26,0.02,0.0,,0.01
Georgia,0.52,0.31,0.1,0.05,,,0.02
Hawaii,0.19,0.02,0.1,0.39,,0.14,0.16
Idaho,0.84,0.01,0.13,0.01,,,0.01
Illinois,0.63,0.13,0.16,0.06,,,0.01
Indiana,0.8,0.09,0.08,0.02,,,0.01
Iowa,0.85,0.03,0.08,0.02,,,0.01
Kansas,0.75,0.05,0.12,0.03,,0.0,0.04
Kentucky,0.85,0.07,0.03,,,0.0,0.02
Louisiana,0.58,0.32,0.05,0.02,,,0.02
Maine,0.91,,0.02,0.02,,0.0,0.03
Maryland,0.5,0.3,0.11,0.06,,,0.03
Massachusetts,0.73,0.07,0.11,0.07,,,0.01
Michigan,0.76,0.14,0.05,0.03,,,0.02
Minnesota,0.82,0.06,0.05,0.03,0.02,,0.01
Mississippi,0.56,0.38,0.03,,,,0.01
Missouri,0.8,0.11,0.04,0.02,,,0.02
Montana,0.9,0.01,0.03,0.01,,,
Nebraska,0.79,0.05,0.11,0.02,,0.0,
Nevada,0.5,0.09,0.28,0.08,,,0.03
New Hampshire,0.91,0.01,0.03,0.03,,,0.02
New Jersey,0.56,0.13,0.18,0.11,,,0.01
New Mexico,0.38,0.02,0.44,0.01,,,
New York,0.58,0.14,0.18,0.08,,,0.01
North Carolina,0.62,0.21,0.11,0.02,,,0.02
North Dakota,0.85,0.03,0.03,0.02,0.05,,0.03
Ohio,0.79,0.12,0.04,0.02,,,0.03
Oklahoma,0.65,0.07,0.12,0.02,0.09,,0.05
Oregon,0.74,0.02,0.15,0.04,,,0.04
Pennsylvania,0.76,0.1,0.08,0.04,,,0.02
Rhode Island,0.72,0.07,0.15,0.04,,0.0,
South Carolina,0.64,0.27,0.05,0.02,,,0.01
South Dakota,0.83,0.02,0.04,,,,0.02
Tennessee,0.73,0.17,0.06,0.02,,,0.02
Texas,0.44,0.12,0.37,0.05,0.0,,0.01
Utah,0.81,0.01,0.13,0.02,0.01,,
Vermont,0.94,0.01,0.01,0.01,,0.0,0.02
Virginia,0.62,0.19,0.1,0.06,,,0.02
Washington,0.69,0.03,0.13,0.08,,,0.04
West Virginia,0.93,0.03,0.01,,,0.0,0.02
Wisconsin,0.78,0.06,0.1,0.03,,,0.02
Wyoming,0.85,0.01,0.09,0.01,,0.0,0.02
