state,urbanindex
Alabama,9.605935
Alaska,8.735964
Arizona,11.299710000000001
Arkansas,9.259444
California,12.19028
Colorado,11.15445
Connecticut,11.40968
Delaware,11.00999
District of Columbia,13.440570000000001
Florida,11.464839999999999
Georgia,10.55233
Hawaii,11.086210000000001
Idaho,9.593634
Illinois,11.62372
Indiana,10.4105
Iowa,9.593525
Kansas,10.120439999999999
Kentucky,9.789536
Louisiana,10.175180000000001
Maine,9.037091
Maryland,11.71105
Massachusetts,11.83973
Michigan,10.805589999999999
Minnesota,10.45684
Mississippi,8.910859
Missouri,10.202119999999999
Montana,8.470226
Nebraska,10.199119999999999
Nevada,11.76972
New Hampshire,9.917139
New Jersey,12.23565
New Mexico,9.896993
New York,12.55857
North Carolina,10.324810000000001
North Dakota,9.054678
Ohio,10.87687
Oklahoma,9.93928
Oregon,10.71233
Pennsylvania,11.146230000000001
Rhode Island,11.72124
South Carolina,10.111419999999999
South Dakota,8.728642
Tennessee,10.197289999999999
Texas,11.17488
Utah,10.962810000000001
Vermont,8.843222
Virginia,10.90625
Washington,11.11933
West Virginia,9.111112
Wisconsin,10.191310000000001
Wyoming,8.256294
